chosen_arms,rewards
6713,0.92
1916,0.92
6682,0.0
1406,0.0
914,0.0
459,0.92
6715,0.0
5739,0.0
3334,0.92
7193,0.92
6200,0.0
1890,0.92
6198,0.0
4779,0.0
2357,0.0
1906,0.92
3803,0.0
2847,0.92
4785,0.0
2371,0.92
2878,0.92
3325,0.92
6212,0.0
6232,0.92
7163,0.92
1891,0.92
2874,0.0
2393,0.92
4312,0.92
6673,0.92
6224,0.0
6230,0.0
433,0.92
478,0.92
2872,0.0
7186,0.0
958,0.92
2842,0.92
3328,0.92
460,0.92
2366,0.0
4297,0.92
5233,0.0
1429,0.0
7171,0.0
4283,0.0
448,0.92
933,0.92
1885,0.0
2842,0.0
6224,0.92
6223,0.92
463,0.92
1393,0.92
1397,0.92
476,0.0
4769,0.0
1420,0.92
1395,0.92
451,0.0
445,0.92
1909,0.92
919,0.0
5758,0.0
2873,0.0
479,0.0
2872,0.0
6213,0.92
1409,0.0
2380,0.92
6192,0.92
4783,0.0
465,0.92
7156,0.92
1908,0.92
1878,0.0
2854,0.92
1433,0.0
1408,0.0
3351,0.0
1416,0.92
453,0.0
1875,0.92
6694,0.92
6223,0.0
1905,0.92
6718,0.92
2352,0.0
2393,0.92
3340,0.0
913,0.0
6214,0.92
1885,0.92
1875,0.92
4774,0.0
1915,0.0
3325,0.92
1897,0.92
1894,0.0
1885,0.92
1891,0.92
3829,0.92
4311,0.92
466,0.92
463,0.92
1889,0.92
1900,0.92
2833,0.0
2386,0.0
2374,0.92
469,0.92
6691,0.92
5269,0.0
1918,0.92
1900,0.92
1909,0.92
1405,0.0
1913,0.92
3336,0.0
2836,0.92
451,0.0
1896,0.0
6693,0.92
444,0.92
6204,0.92
1887,0.0
1894,0.92
4276,0.0
459,0.92
1876,0.92
1891,0.92
1884,0.0
463,0.92
1899,0.0
6238,0.92
1879,0.0
1903,0.0
1888,0.92
1876,0.92
1912,0.92
6214,0.92
958,0.0
454,0.0
6232,0.0
3325,0.0
478,0.0
1909,0.92
2377,0.0
2839,0.92
1900,0.0
1900,0.92
1917,0.92
1876,0.0
6673,0.92
1903,0.92
1888,0.92
1912,0.92
2866,0.92
2845,0.0
6238,0.92
6238,0.92
6227,0.92
1919,0.0
3355,0.92
1872,0.92
445,0.0
2380,0.0
1897,0.92
466,0.92
1423,0.92
3349,0.92
3358,0.92
6220,0.92
1891,0.0
6196,0.92
1906,0.0
3343,0.92
6193,0.92
2854,0.0
2871,0.0
6229,0.0
1890,0.0
6718,0.92
445,0.0
475,0.92
1903,0.92
3316,0.0
2392,0.0
454,0.92
6220,0.0
4768,0.0
466,0.92
6222,0.92
433,0.92
466,0.0
6214,0.92
1894,0.92
1891,0.0
1872,0.0
6232,0.92
6196,0.92
6229,0.92
6214,0.92
6238,0.0
454,0.92
6214,0.92
1894,0.0
1918,0.92
1882,0.92
6229,0.92
1885,0.92
2842,0.92
6196,0.92
1894,0.92
1894,0.92
1894,0.92
1918,0.0
6229,0.0
3328,0.92
6196,0.92
6226,0.92
1894,0.0
6214,0.92
6196,0.0
454,0.92
1876,0.92
6211,0.0
6214,0.92
6223,0.92
6199,0.92
6235,0.92
6229,0.0
1918,0.92
1894,0.92
1909,0.0
6232,0.92
1912,0.92
1894,0.92
6214,0.92
6193,0.92
6214,0.0
1894,0.0
6232,0.0
6211,0.92
1903,0.0
1873,0.0
6214,0.0
1879,0.92
1903,0.92
6214,0.92
6223,0.0
1903,0.92
1891,0.0
6214,0.92
1894,0.92
6196,0.0
3340,0.0
1885,0.92
460,0.92
6235,0.0
6199,0.0
6199,0.92
1906,0.92
1894,0.92
6214,0.0
1894,0.0
1903,0.92
6223,0.92
1900,0.0
1903,0.0
1912,0.0
1894,0.92
6232,0.92
1906,0.0
6214,0.0
6238,0.0
6214,0.92
6214,0.92
6196,0.92
6214,0.92
1897,0.92
6223,0.0
6232,0.92
6232,0.0
6235,0.0
1903,0.92
6196,0.0
6223,0.0
1912,0.92
1915,0.92
454,0.92
6232,0.92
1912,0.92
1894,0.0
6238,0.92
6214,0.0
1894,0.0
6196,0.92
6196,0.92
6229,0.92
6235,0.0
3316,0.92
6214,0.92
1894,0.0
6205,0.92
6223,0.92
6208,0.92
6232,0.92
6232,0.0
1888,0.92
6223,0.92
1894,0.92
1888,0.92
6232,0.0
1894,0.0
6214,0.92
6217,0.0
6208,0.92
1882,0.0
1894,0.92
1888,0.92
1894,0.92
6196,0.0
6232,0.92
6217,0.92
1894,0.0
1903,0.0
1894,0.92
6226,0.0
1909,0.92
1903,0.92
6208,0.92
448,0.92
6205,0.92
6208,0.92
6208,0.0
1894,0.92
6208,0.92
1876,0.0
6220,0.92
1894,0.92
1894,0.92
6214,0.92
6196,0.92
6193,0.92
6232,0.92
6214,0.92
6214,0.92
6214,0.0
6214,0.0
6193,0.0
6214,0.0
6208,0.0
6214,0.0
6229,0.0
1894,0.92
6232,0.0
1918,0.92
1915,0.92
6214,0.92
6193,0.92
1912,0.92
6223,0.0
3352,0.0
6196,0.92
1888,0.92
6214,0.92
6214,0.92
6214,0.0
1897,0.92
1918,0.92
1894,0.92
1912,0.92
1879,0.0
6214,0.0
1903,0.0
6214,0.92
6208,0.92
1894,0.0
6214,0.92
6214,0.0
1912,0.0
6214,0.92
1894,0.92
1894,0.92
1876,0.92
1894,0.92
1894,0.92
6208,0.92
1888,0.0
6214,0.92
1894,0.92
1894,0.92
1894,0.92
6214,0.0
1894,0.0
6214,0.92
1894,0.92
1894,0.0
6208,0.0
1894,0.92
6214,0.0
1894,0.0
6226,0.92
1894,0.92
1894,0.92
1912,0.0
6214,0.92
6238,0.92
1894,0.92
6223,0.92
1918,0.0
6223,0.92
6214,0.0
6214,0.92
6214,0.0
1894,0.92
6220,0.0
1918,0.92
1894,0.92
6214,0.92
6214,0.0
6205,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
6238,0.92
6214,0.0
6214,0.92
6196,0.92
1894,0.0
1894,0.0
1894,0.92
6196,0.92
6208,0.0
1894,0.92
1894,0.0
6214,0.92
3316,0.0
1894,0.0
1894,0.92
1894,0.0
6214,0.92
6202,0.92
1894,0.92
1894,0.92
6214,0.92
1894,0.92
1894,0.92
6214,0.0
6214,0.0
1894,0.92
1894,0.92
6214,0.0
6214,0.0
1894,0.92
1888,0.92
1894,0.0
1903,0.92
1894,0.92
1876,0.0
6214,0.92
1894,0.0
6214,0.92
1894,0.92
6196,0.92
6214,0.92
1894,0.92
6214,0.92
6214,0.92
1894,0.92
1894,0.0
1894,0.0
6214,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
6214,0.92
6214,0.0
6214,0.0
6214,0.92
6214,0.92
1894,0.0
1894,0.92
6214,0.0
6214,0.0
6214,0.0
6214,0.0
6214,0.92
1888,0.92
1894,0.92
6214,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.0
6214,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
6205,0.92
1894,0.92
1894,0.92
1888,0.0
1894,0.0
1894,0.0
6214,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
6214,0.0
6214,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
6214,0.92
6214,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
6214,0.0
1894,0.92
1894,0.92
6214,0.92
1894,0.92
6214,0.92
1894,0.0
1894,0.0
6214,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
6214,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
6214,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
6214,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
6214,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
6214,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
6214,0.92
1894,0.92
6214,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
6214,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
6214,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
1894,0.0
1894,0.92
1894,0.0
1894,0.92
1894,0.92
