chosen_arms,rewards
1924,0.0
2902,0.0
6195,0.0
975,0.0
4842,0.0
2897,0.0
1948,1.0
3405,1.0
7191,0.0
4788,0.0
2387,0.0
3350,0.0
4357,0.0
4282,0.0
1883,0.0
6238,0.0
7197,0.0
1879,0.0
1941,1.0
1899,0.0
2843,0.0
5721,0.0
1918,0.0
4308,0.0
5246,0.0
2399,0.0
6321,0.0
5773,1.0
5265,0.0
7187,0.0
6271,0.0
4282,0.0
4846,0.0
1954,0.0
14,0.0
1406,0.0
468,0.0
6229,0.0
3817,0.0
6760,1.0
5246,0.0
4830,0.0
1413,0.0
2386,0.0
3352,0.0
4344,0.0
2400,1.0
1900,0.0
1941,1.0
3352,0.0
5741,0.0
6677,0.0
2871,0.0
2381,0.0
3108,0.0
7194,0.0
1934,0.0
5743,0.0
4798,0.0
1416,0.0
999,0.0
4777,0.0
2842,0.0
459,0.0
1006,0.0
6733,0.0
4282,0.0
5304,0.0
7163,0.0
6682,46.0
5236,0.0
4793,0.0
7186,0.0
4317,0.0
3324,0.0
7164,46.0
6718,0.0
6216,0.0
4288,0.0
5265,0.0
6691,0.0
6697,0.0
1404,0.0
4318,0.0
942,0.0
1917,0.0
7199,0.0
4279,46.0
1426,0.0
5714,0.0
1413,0.0
4758,0.0
6687,0.0
5275,0.0
3312,46.0
1395,0.0
3342,0.0
5719,0.0
929,0.0
3814,0.0
6229,0.0
6718,0.0
6714,0.0
1872,0.0
6192,0.0
939,0.0
2395,0.0
6231,0.0
6206,0.0
929,0.0
6232,0.0
1881,46.0
7152,0.0
1413,0.0
5745,0.0
6192,0.0
6673,0.0
6682,0.0
2373,0.0
2861,0.0
2871,0.0
452,0.0
469,0.0
1395,0.0
6696,0.0
453,0.0
465,0.0
4284,0.0
7156,0.0
4306,0.0
1899,0.0
5714,0.0
6672,0.0
2877,0.0
2370,0.0
2362,0.0
5756,0.0
6672,0.0
1432,0.0
1431,0.0
2387,0.0
942,0.0
5235,0.0
6693,0.0
2381,0.0
4775,0.0
4273,0.0
3312,0.0
7176,0.0
3813,0.0
5242,0.0
3821,0.0
6219,0.0
2393,0.0
2365,0.0
2850,0.0
2391,0.0
2399,0.0
3335,0.0
5713,0.0
4316,0.0
1431,0.0
3837,0.0
1419,0.0
2389,0.0
6717,0.0
7175,0.0
4788,0.0
6702,0.0
7178,0.0
2860,0.0
2847,0.0
7182,0.0
2395,0.0
3835,0.0
7197,0.0
6237,0.0
6210,0.0
939,0.0
1439,0.0
1890,0.0
2863,0.0
3829,0.0
6692,0.0
6192,0.0
3326,0.0
1889,0.0
4753,0.0
3813,0.0
6699,0.0
6687,0.0
4296,0.0
5244,0.0
447,0.0
1899,0.0
3344,0.0
6232,0.0
3836,0.0
3316,0.0
2389,0.0
1914,0.0
5757,0.0
7188,0.0
3825,0.0
5268,0.0
6237,0.0
452,0.0
6212,0.0
6221,0.0
1884,46.0
7161,0.0
1878,0.0
7198,0.0
2851,0.0
3807,0.0
3352,0.0
1417,0.0
7180,0.0
3793,0.0
1900,0.0
4763,0.0
1885,0.0
2838,0.0
4798,0.0
7194,0.0
4275,0.0
4308,0.0
7175,0.0
7180,0.0
4286,0.0
4276,0.0
1912,0.0
3322,0.0
5244,0.0
3828,0.0
6227,0.0
1917,0.0
4300,0.0
7187,0.0
2386,0.0
4295,0.0
3816,0.0
453,0.0
6225,0.0
1417,0.0
4767,0.0
7173,0.0
2385,0.0
4302,0.0
2362,0.0
1872,0.0
1873,0.0
2842,0.0
4315,0.0
3316,0.0
4317,0.0
4296,0.0
449,0.0
459,0.0
2379,0.0
3792,0.0
3796,0.0
6238,0.0
3799,0.0
6204,0.0
3337,0.0
4289,0.0
4758,0.0
1872,0.0
4305,0.0
7175,0.0
2367,0.0
937,0.0
5259,0.0
3322,0.0
1872,46.0
2388,0.0
1885,0.0
478,0.0
6227,0.0
3330,0.0
441,0.0
3321,46.0
6204,0.0
7152,0.0
3340,0.0
7152,0.0
2362,0.0
7156,0.0
3321,0.0
468,0.0
2859,0.0
951,0.0
459,0.0
6198,0.0
2865,0.0
1917,0.0
3342,0.0
3837,0.0
5754,0.0
3353,46.0
6231,0.0
3795,0.0
3350,0.0
4299,0.0
3318,0.0
1893,0.0
3808,0.0
7179,0.0
6216,0.0
2848,0.0
6717,0.0
7152,0.0
4275,0.0
5265,0.0
1917,0.0
1909,0.0
2848,0.0
2361,0.0
1420,0.0
438,0.0
2373,0.0
6195,0.0
3798,0.0
1902,0.0
438,0.0
2878,0.0
3819,0.0
6673,0.0
3819,0.0
6684,0.0
454,0.0
5248,0.0
6684,0.0
4299,0.0
1873,0.0
924,0.0
6197,0.0
